HEATMAP OR MLP,LOSS FUNCTION,NUM_FRAMES,Run 1,Run 2,Run 3,Run 4,Average Run,Std Run
HEATMAP,L2,1,0.06778,0.068433,0.069963,0.075061,0.07030925,0.003297293676
HEATMAP,L2,2,0.063121,0.072882,0.069268,0.06843,0.06842525,0.00402938948
HEATMAP,L2,4,0.070461,0.06683,0.071732,0.0745,0.07088075,0.003183727519
HEATMAP,L1,1,0.074971,0.073287,0.064086,0.061204,0.068387,0.00676887844
HEATMAP,L1,2,0.078602,0.067519,0.07831,0.063686,0.07202925,0.007585095885
HEATMAP,L1,4,0.072249,0.072721,0.068737,0.073899,0.0719015,0.002220840907
HEATMAP,SmoothL1,1,0.063819,0.07313,0.06065,0.055503,0.0632755,0.007409713647
HEATMAP,SmoothL1,2,0.072505,0.067398,0.076861,0.070898,0.0719155,0.003926346606
HEATMAP,SmoothL1,4,0.069616,0.068165,0.068317,0.06353,0.067407,0.002665425169
MLP,L2,1,0.087072,0.073564,0.063012,0.087637,0.07782125,0.01182318889
MLP,L2,2,0.083934,0.078627,0.088676,0.079094,0.08258275,0.004717799867
MLP,L2,4,0.080621,0.074942,0.065913,0.072216,0.073423,0.00610943298
MLP,L1,1,0.095829,0.075989,0.062459,0.075363,0.07741,0.01377196926
MLP,L1,2,0.071058,0.082478,0.082757,0.06158,0.07446825,0.0101750719
MLP,L1,4,0.062015,0.057148,0.068408,0.069271,0.0642105,0.005713340908
MLP,SmoothL1,1,0.087768,0.090759,0.077002,0.091541,0.0867675,0.00671029967
MLP,SmoothL1,2,0.076643,0.067786,0.074471,0.079346,0.0745615,0.004937599721
MLP,SmoothL1,4,0.074117,0.068332,0.062225,0.075216,0.0699725,0.005982924842
